relationship_type,relationship_confidence,head_entity_type,head_entity_surface,tail_entity_type,tail_entity_surface,proximity_distance,pattern
ORL,0.6,TECHNOLOGY,BI,PERSON,Kafka,4,proximity
ORL,0.6,COMPANY,AMD,COMPANY,SAP,5,proximity
ORL,0.6,PERSON,Kafka,COMPANY,Slack,7,proximity
ORL,0.6,COMPANY,Azure,ORG,Kubernetes,7,proximity
ORL,0.6,PERCENT,44%,ORG,FashionTech,7,proximity
ORL,0.6,TECHNOLOGY,CI/CD,COMPANY,Linear,7,proximity
ORL,0.6,COMPANY,IBM,COMPANY,Oracle,8,proximity
ORL,0.6,COMPANY,Lenovo,COMPANY,Cisco,8,proximity
ORL,0.6,ORG,PyTorch,PERSON,Kafka,9,proximity
ORL,0.6,COMPANY,Cisco,DATE,2024-11-19,9,proximity
ORL,0.6,COMPANY,SAP,COMPANY,Dell,9,proximity
ORL,0.6,ORG,Android,PERSON,Full Stack,9,proximity
ORL,0.6,GPE,Amarillo,GPE,Colorado Springs,10,proximity
ORL,0.6,COMPANY,VMware,GPE,Milwaukee,10,proximity
ORL,0.6,ORG,CTO,ORG,Lucas Bell,10,proximity
ORL,0.6,GPE,Columbus,GPE,Bakersfield,10,proximity
ORL,0.6,COMPANY,Lenovo,MONEY,$984 million,11,proximity
ORL,0.6,COMPANY,Stripe,COMPANY,VMware,11,proximity
ORL,0.6,COMPANY,Cisco,PERSON,Palantir,11,proximity
ORL,0.6,ORG,PyTorch,DATE,2025-02-10,11,proximity
ORL,0.6,PERSON,Kafka,COMPANY,Slack,11,proximity
ORL,0.6,GPE,Baltimore,LOCATION,Australia,11,proximity
ORL,0.6,COMPANY,Slack,TECHNOLOGY,Analytics,12,proximity
ORL,0.6,ORG,Lucas Bell,PRODUCT,Enterprise,12,proximity
ORL,0.6,PERSON,Full Stack,GPE,React,12,proximity
ORL,0.6,GPE,Palantir,COMPANY,Databricks,13,proximity
ORL,0.6,ORG,Abstract,TECHNOLOGY,Machine Learning,13,proximity
ORL,0.6,PERSON,Wyatt James,ORG,Business Advisor,13,proximity
ORL,0.6,GPE,Atlanta,ORG,FashionTech,13,proximity
ORL,0.6,PERCENT,52%,ORG,FashionTech,14,proximity
ORL,0.6,COMPANY,AMD,COMPANY,Dell,14,proximity
ORL,0.6,PERSON,Luke Russell,ORG,Business Advisor,14,proximity
ORL,0.6,GPE,Milwaukee,LOCATION,Japan,14,proximity
ORL,0.6,ORG,Elasticsearch,ORG,Android,15,proximity
ORL,0.6,TECHNOLOGY,BI,COMPANY,Slack,15,proximity
ORL,0.6,LOCATION,Australia,GPE,Henderson,15,proximity
ORL,0.6,PERSON,Robert Taylor,ORG,CTO,15,proximity
ORL,0.6,GPE,Birmingham,GPE,Colorado Springs,15,proximity
ORL,0.6,ORG,Consulting,NORP,PropTech,15,proximity
ORL,0.6,COMPANY,Linear,ORG,Elasticsearch,16,proximity
ORL,0.6,ORG,FashionTech,ORG,Consulting,16,proximity
ORL,0.6,ORG,PyTorch,COMPANY,Slack,16,proximity
ORL,0.6,GPE,Henderson,COMPANY,IBM,16,proximity
ORL,0.6,DATE,2024-11-19,ORG,Compliance,16,proximity
ORL,0.6,GPE,Bakersfield,GPE,Atlanta,17,proximity
ORL,0.6,DATE,2024-12-24,PERSON,Luke Russell,17,proximity
ORL,0.6,MONEY,$984 million,COMPANY,Cisco,17,proximity
ORL,0.6,COMPANY,IoT Solutions,ORG,Supply Chain Optimization,18,proximity
ORL,0.6,MONEY,$113 million,COMPANY,Stripe,18,proximity
ORL,0.6,COMPANY,Lenovo,PERSON,Palantir,19,proximity
ORL,0.6,PERSON,Kafka,TECHNOLOGY,Analytics,19,proximity
ORL,0.6,COMPANY,Lenovo,MONEY,$555 million,19,proximity
ORL,0.6,PERSON,Palantir,ORG,Testing Services,20,proximity
ORL,0.6,COMPANY,Cisco,ORG,PyTorch,20,proximity
ORL,0.6,ORG,Business Advisor,COMPANY,Lenovo,20,proximity
ORL,0.6,LOCATION,Japan,ORG,Performance Optimization,21,proximity
ORL,0.6,ORG,Testing Services,COMPANY,IoT Solutions,21,proximity
ORL,0.6,COMPANY,Stripe,GPE,Milwaukee,21,proximity
ORL,0.6,ORG,Android,GPE,React,21,proximity
ORL,0.6,ORG,Kubernetes,PERSON,PyTorch,21,proximity
ORL,0.6,ORG,CTO,PRODUCT,Enterprise,22,proximity
ORL,0.6,GPE,Colorado Springs,GPE,Detroit,22,proximity
ORL,0.6,COMPANY,Lenovo,PRODUCT,Compliance,22,proximity
ORL,0.6,ORG,FashionTech,GPE,Birmingham,22,proximity
ORL,0.6,TECHNOLOGY,CI/CD,ORG,Elasticsearch,23,proximity
ORL,0.6,ORG,Customer Experience and,TECHNOLOGY,Business Intelligence,24,proximity
ORL,0.6,ORG,Consulting,ORG,FashionTech,24,proximity
ORL,0.6,ORG,Elasticsearch,PERSON,Full Stack,24,proximity
ORL,0.6,ORG,PyTorch,ORG,FashionTech,24,proximity
ORL,0.6,GPE,Henderson,COMPANY,Oracle,24,proximity
ORL,0.6,COMPANY,VMware,LOCATION,Japan,24,proximity
ORL,0.6,PERSON,Robert Taylor,ORG,Lucas Bell,25,proximity
ORL,0.6,ORG,FashionTech,DATE,the next two years,25,proximity
ORL,0.6,CARDINAL,195,ORG,Network Security,25,proximity
ORL,0.6,COMPANY,Cisco,ORG,Compliance,25,proximity
ORL,0.6,MONEY,$984 million,DATE,2024-11-19,26,proximity
ORL,0.6,GPE,Baltimore,GPE,Henderson,26,proximity
ORL,0.6,ORG,Network Security,COMPANY,Azure,27,proximity
ORL,0.6,GPE,Columbus,GPE,Atlanta,27,proximity
ORL,0.6,COMPANY,Azure,PERSON,PyTorch,28,proximity
ORL,0.6,ORG,PyTorch,TECHNOLOGY,Analytics,28,proximity
ORL,0.6,COMPANY,Lenovo,COMPANY,Cisco,28,proximity
ORL,0.6,COMPANY,Lenovo,ORG,FashionTech,28,proximity
ORL,0.6,PRODUCT,Compliance,ORG,Amarillo,29,proximity
ORL,0.6,MONEY,an additional $76 million,ORG,PyTorch,29,proximity
ORL,0.6,ORG,Performance Optimization,PERSON,Cloud Migration,29,proximity
ORL,0.6,COMPANY,Databricks,COMPANY,IoT Solutions,29,proximity
ORL,0.6,MONEY,$113 million,COMPANY,VMware,29,proximity
ORL,0.6,GPE,Bakersfield,ORG,FashionTech,30,proximity
ORL,0.6,ORG,Business Advisor,ORG,FashionTech,30,proximity
ORL,0.6,COMPANY,Linear,ORG,Android,31,proximity
ORL,0.6,COMPANY,Dell,ORG,Abstract,31,proximity
ORL,0.6,DATE,2024-12-24,ORG,Business Advisor,31,proximity
ORL,0.6,LOCATION,Australia,COMPANY,IBM,31,proximity
ORL,0.6,COMPANY,Cisco,ORG,Testing Services,31,proximity
ORL,0.6,GPE,Amarillo,GPE,Detroit,32,proximity
ORL,0.6,TECHNOLOGY,Analytics,GPE,Columbus,32,proximity
ORL,0.6,PERCENT,38%,ORG,Consulting,33,proximity
ORL,0.6,PERSON,Wyatt James,COMPANY,Lenovo,33,proximity
ORL,0.6,ORG,Network Security,ORG,Kubernetes,34,proximity
ORL,0.6,COMPANY,Slack,ORG,Customer Experience and,34,proximity
ORL,0.6,COMPANY,Lenovo,ORG,Testing Services,35,proximity
ORL,0.6,GPE,Milwaukee,ORG,Performance Optimization,35,proximity
ORL,0.6,COMPANY,Stripe,LOCATION,Japan,35,proximity
ORL,0.6,TECHNOLOGY,Business Intelligence,ORG,Mason Rogers,36,proximity
ORL,0.6,ORG,Elasticsearch,GPE,React,36,proximity
ORL,0.6,ORG,PyTorch,DATE,2024-12-24,36,proximity
ORL,0.6,ORG,FashionTech,ORG,PyTorch,37,proximity
ORL,0.6,ORG,FashionTech,GPE,Colorado Springs,37,proximity
ORL,0.6,PERSON,Robert Taylor,PRODUCT,Enterprise,37,proximity
ORL,0.6,COMPANY,Lenovo,DATE,2024-11-19,37,proximity
ORL,0.6,TECHNOLOGY,CI/CD,ORG,Android,38,proximity
ORL,0.6,COMPANY,Lenovo,ORG,Testing Services,39,proximity
ORL,0.6,PERCENT,52%,DATE,the next two years,39,proximity
ORL,0.6,MONEY,$113 million,GPE,Milwaukee,39,proximity
ORL,0.6,LOCATION,Australia,COMPANY,Oracle,39,proximity
ORL,0.6,MONEY,$963 million,COMPANY,Lenovo,39,proximity
ORL,0.6,TECHNOLOGY,Analytics,PRODUCT,Compliance,39,proximity
ORL,0.6,ORG,FashionTech,ORG,FashionTech,40,proximity
ORL,0.6,COMPANY,Linear,PERSON,Full Stack,40,proximity
ORL,0.6,COMPANY,SAP,ORG,Abstract,40,proximity
ORL,0.6,MONEY,$555 million,COMPANY,Cisco,40,proximity
ORL,0.6,PERSON,Jack Foster,PERSON,Robert Taylor,40,proximity
ORL,0.6,GPE,Columbus,ORG,FashionTech,40,proximity
ORL,0.6,GPE,Detroit,PERCENT,52%,40,proximity
ORL,0.6,PERSON,Palantir,COMPANY,IoT Solutions,41,proximity
