canonical,synonym,source
Account Support,account_support,taxonomy_id
Account Support,Account Support,taxonomy_name
Agent Assist & Copilot,agent_assist,taxonomy_id
Agent Assist & Copilot,Agent Assist & Copilot,taxonomy_name
Autonomous Service Agents,agentic_ai,taxonomy_id
Autonomous Service Agents,Autonomous Service Agents,taxonomy_name
AI-Enabled CX & Automation,ai_cx,taxonomy_id
AI-Enabled CX & Automation,AI-Enabled CX & Automation,taxonomy_name
"Data, Analytics & Insights",analytics,taxonomy_id
"Data, Analytics & Insights","Data, Analytics & Insights",taxonomy_name
Application Maintenance,app_maintenance,taxonomy_id
Application Maintenance,Application Maintenance,taxonomy_name
Auto & Asset-Backed,auto_collections,taxonomy_id
Auto & Asset-Backed,Auto & Asset-Backed,taxonomy_name
Back-Office & Process Management,back_office,taxonomy_id
Back-Office & Process Management,Back-Office & Process Management,taxonomy_name
Benchmarking & VOC Strategy,benchmarking,taxonomy_id
Benchmarking & VOC Strategy,Benchmarking & VOC Strategy,taxonomy_name
BI & Visualization,bi_viz,taxonomy_id
BI & Visualization,BI & Visualization,taxonomy_name
Claims Processing,claims_processing,taxonomy_id
Claims Processing,Claims Processing,taxonomy_name
Cloud Support,cloud_support,taxonomy_id
Cloud Support,Cloud Support,taxonomy_name
"Collections, Credit & Revenue Recovery",collections,taxonomy_id
"Collections, Credit & Revenue Recovery","Collections, Credit & Revenue Recovery",taxonomy_name
Commercial & B2B,commercial_ar,taxonomy_id
Commercial & B2B,Commercial & B2B,taxonomy_name
Consumer Collections,consumer_collections,taxonomy_id
Consumer Collections,Consumer Collections,taxonomy_name
Content Moderation / T&S,content_moderation,taxonomy_id
Content Moderation / T&S,Content Moderation / T&S,taxonomy_name
Conversational AI,conversational_ai,taxonomy_id
Conversational AI,Conversational AI,taxonomy_name
Customer Experience (CX) Operations,cx_ops,taxonomy_id
Customer Experience (CX) Operations,Customer Experience (CX) Operations,taxonomy_name
CX Transformation & Consulting,cx_transform,taxonomy_id
